_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7d61,e449e5f1-ff79-4e9a-a2e6-06348424342c,PS110-000144,ПС 110 кВ Сибирячихинская,ПС 110 кВ Сибирячихинская,Substation
65a2361a96b9132bd04d7d62,e61deaae-af1e-4edd-bb35-c8d2786ffdce,PS110-000776,ПС 110 кВ Альбитуй,ПС 110 кВ Альбитуй,Substation
65a2361a96b9132bd04d7d63,e6bec769-0fd0-4178-9be7-f4f064878293,PS110-000454,ПС 110 кВ Бартат,ПС 110 кВ Бартат,Substation
65a2361a96b9132bd04d7d64,e6e30190-624c-4664-b649-47f833d2a869,PS110-000209,ПС 110 кВ Родинская,ПС 110 кВ Родинская,Substation
65a2361a96b9132bd04d7d65,e7142b14-70a6-46b7-bfa5-3bde15acfc62,PS110-001258,ПС 110 кВ Насосная станция оборотной воды,ПС 110 кВ Насосная Низовая,Substation
65a2361a96b9132bd04d7d66,e87128d1-e88b-4b21-bab0-d0bd2b4ddeee,PS110-000288,ПС 110 кВ Усть-Мосиха,ПС 110 кВ Усть-Мосиха,Substation
65a2361a96b9132bd04d7d67,e908236d-190e-4307-876e-311f35c285a0,PS110-000445,Городская-сэс,ПС 110 кВ Городская (СЭС),Substation
65a2361a96b9132bd04d7d68,e9160295-dd21-49ab-acda-114a4489bdd5,PS110-000556,ПС 110 кВ Сидоровская,ПС 110 кВ Сидоровская,Substation
65a2361a96b9132bd04d7d69,ea251d8f-8519-4d9c-b139-edbbdadce3cf,PS110-000424,ПС 110 кВ Ленинская,ПС 110 кВ Ленинская,Substation
65a2361a96b9132bd04d7d6a,ea5cdc3a-d1b8-4b7c-8e8a-bf308f62b66e,PS110-001200,ПС 110 кВ Даурия тяговая,ПС 110 кВ Даурия тяговая,Substation
65a2361a96b9132bd04d7d6b,eb818289-48ab-487d-bda1-0f1790deac2c,PS110-000257,ПС 110 кВ Озерская,ПС 110 кВ Озерская,Substation
65a2361a96b9132bd04d7d6c,ebcea375-53c5-4997-bfe7-78e4ff46b933,PS110-000055,ПС 110 кВ Эрхирик,ПС 110 КВ ЭРХИРИК,Substation
65a2361a96b9132bd04d7d6d,EBFA2964-3BF3-4F2A-BA75-89F8CF0484B6,PS110-000120,ПС 110 кВ Южная,ПС 110 кВ Южная,Substation
65a2361a96b9132bd04d7d6e,ecb6b402-9a34-47c6-9311-c409ee3f18e6,PS110-000193,ПС 110 кВ Леньковская,ПС 110 кВ Леньковская,Substation
65a2361a96b9132bd04d7d6f,ee0dc879-050e-42c2-bfeb-114aeff991b6,PS110-001013,ПС 110 кВ Цвет. мет ,ПС 110 кВ Цветметные металлы,Substation
